
story_mekka_p1_text_1,"شَغَّلَ فَرِيدٌ آلَةَ الزَّمَنِ، فَانْشَقَّتْ أَمَامَهُ أَرْوِقَةُ التَّارِيخِ، وَأَلْقَتْهُ فِي مَطْلَعِ الْأَلْفِيَّةِ الثَّالِثَةِ، فَوْقَ مَدِينَةِ جَدَّةَ الَّتِي يُلَقِّبُهَا أَهْلُهَا بِــ«مَهْبِطِ الْقَوَافِلِ وَبَوَّابَةِ الْأَرْضِ الطَّاهِرَةِ». وَمَا إِنْ لَامَسَتْ قَدَمَاهُ رَصِيفًا حَتَّى تَنَاهَتْ إِلَى سَمْعِهِ لَهَجَاتٌ عَرَبِيَّةٌ عَذْبَةٌ يَرْقُصُ فِيهَا حَرْفُ الضَّادِ، فَاسْتَيْقَنَ أَنَّهُ وَطِئَ أَرْضَ الْعَرَبِ حَقًّا.","Ferid mit en marche la machine à voyager dans le temps, et les couloirs de l'histoire s'ouvrirent devant lui, le projetant à l'aube du troisième millénaire au-dessus de la ville de Djeddah, que ses habitants surnomment « le point d'arrivée des caravanes et la porte de la terre sainte ». À peine ses pieds eurent-ils touché le trottoir que de doux dialectes arabes, où dansait la lettre Dhad, parvinrent à ses oreilles, et il acquit la certitude qu'il avait véritablement foulé la terre des Arabes.","Ferid turned on the time machine, and the corridors of history split open before him, dropping him at the dawn of the third millennium over the city of Jeddah, which its people call << the landing place of caravans and the gateway to the pure land.>> No sooner had his feet touched a pavement than sweet Arabic dialects reached his ears, in which the letter Dhad danced, and he became certain that he had truly set foot on the land of the Arabs."
story_mekka_p1_text_2,"تَقَدَّمَ فِي الشَّوَارِعِ الْمُكْتَظَّةِ، فَإِذَا بِصَوْتٍ سَمَاوِيٍّ يَجْلْجِلُ الْآفَاقَ كَأَنَّهُ نَفِيرُ نُورٍ يَخْتَرِقُ السُّكُونَ. تَمَلَّكَتْهُ دَهْشَةٌ، وَتَسَاءَلَ: «مَا هَذَا النِّدَاءُ الَّذِي يَشُقُّ عِنَانَ السَّمَاءِ؟» عِنْدَئِذٍ سَمَعَ كَلَامَهُ شَيْخٌ أَشْيَبُ اللِّحْيَةِ فابْتَسَمَ وَقَالَ بِوَقَارٍ: «هَذَا الْأَذَانُ، نِدَاءُ الْحَقِّ، وَسَفِيرُ الصَّلَاةِ إِلَى الْقُلُوب. »","Il avança dans les rues bondées, quand soudain une voix céleste résonna à travers les horizons tel un clairon de lumière perçant le silence. L'étonnement s'empara de lui et il se demanda : « Quel est cet appel qui déchire le ciel ? » À cet instant, un vieil homme à la barbe blanche entendit ses paroles, sourit et dit avec dignité : « C'est l'Adhan, l'appel de la vérité, et l'ambassadeur de la prière auprès des cœurs. »","He advanced through the crowded streets, when suddenly a heavenly voice echoed across the horizons like a trumpet of light piercing the silence. Amazement took hold of him, and he asked: << What is this call that cleaves the sky?>> At that moment, a white-bearded old man heard his words, smiled, and said solemnly: << This is the Adhan, the call of truth, and the ambassador of prayer to the hearts.>>"
story_mekka_p1_text_3,"قَادَ الشَّيْخُ ضَيْفَهُ إِلَى مَسْجِدٍ فَسِيحِ الْأَرْوِقَةِ، تَعْلُوهُ مَآذِنُ شَامِخَةٌ، وَتُحِيطُ بِهِ أَضْوَاءٌ وَهَّاجَةٌ. هُنَاكَ رَأَى فَرِيدٌ الْمُؤْمِنِينَ مُصْطَفِّينَ كَتِفًا إِلَى كَتِفٍ، فِي لَوْحَةٍ مِنَ الْاِنْسِجَامِ الْإِنْسَانِيِّ. سَأَلَ وَنَبْرَةُ الْحَيْرَةِ تُلَوِّنُ صَوْتَهُ: «مَا وَظِيفَةُ هَذَا الصَّرْحِ الْمَهِيبِ؟ وَلِمَ يَجْتَمِعُ النَّاسُ هُنَا خَمْسَ مَرَّاتٍ فِي الْيَوْمِ؟»","Le vieil homme conduisit son invité vers une mosquée aux vastes corridors, surmontée de minarets majestueux et entourée de lumières éclatantes. Là, Ferid vit les croyants alignés épaule contre épaule dans un tableau d'harmonie humaine. Il demanda, une nuance de perplexité colorant sa voix : « Quelle est la fonction de ce majestueux édifice ? Et pourquoi les gens se réunissent-ils ici cinq fois par jour ? »","The old man led his guest to a mosque with spacious corridors, topped by towering minarets and surrounded by radiant lights. There, Ferid saw the believers lined up shoulder to shoulder in a portrait of human harmony. He asked, a tone of bewilderment coloring his voice: << What is the function of this majestic edifice? And why do people gather here five times a day? >>"
story_mekka_p1_text_4,"أَجَابَهُ الشَّيْخُ بِرَصَانَةٍ يَشُوبُهَا حَنَانٌ خَفِيٌّ: « الْمَسْجِدُ بَيْتُ اللَّهِ فِي الْأَرْضِ، وَالصَّلَاةُ جِسْرٌ رُوحِيٌّ يَرْبِطُ الْمَخْلُوقَ بِالْخَالِقِ. هِيَ خَمْسٌ كُلَّ يَوْمٍ تُعِيدُ لِلنَّفْسِ صَفَاءَهَا، وَتَزْرَعُ فِي الْقَلْبِ سَكِينَةً، لَا يُمْكِنُ لِمَالٍ أَوْ آلَةٍ أَنْ تَمْنَحَهَا».","Le vieil homme lui répondit avec une sobriété teintée d'une tendresse cachée : « La mosquée est la maison de Dieu sur terre, et la prière est un pont spirituel qui relie la créature au Créateur. Ce sont cinq prières quotidiennes qui redonnent à l'âme sa pureté et sèment dans le cœur une quiétude qu'aucun argent ni aucune machine ne peut offrir. »","The old man answered him with a composure tinged with hidden tenderness: << The mosque is the House of God on earth, and prayer is a spiritual bridge that connects the creation to the Creator. They are five each day that restore the soul's purity and plant a tranquility in the heart that neither money nor machine can grant. >>"
story_mekka_p1_text_5,"وَلَمْ يَشْفِ ذٰلِكَ ظَمَأَ فُضُولِ فَرِيدٍ، فَقَالَ: «وَمِنْ أَيْنَ اسْتُمِدَّ هٰذَا النِّظَامُ الْبَدِيعُ؟» فَاغْرَوْرَقَتْ عَيْنَا الشَّيْخِ شَوْقًا وَهُوَ يُجِيبُ: «فِي الْقَرْنِ السَّابِعِ الْمِيلَادِيِّ، أَوْحَى اللَّهُ إِلَى نَبِيِّهِ مُحَمَّدٍ ﷺ بِوَاسِطَةِ الْمَلَكِ جِبْرِيلَ عَلَيْهِ السَّلَامُ، فَفُرِضَتِ الصَّلَوَاتُ الْخَمْسُ لِتَكُونَ مِيثَاقًا يَوْمِيًّا بَيْنَ الْعَبْدِ وَرَبِّهِ، وَعِمَادًا لِدِينٍ قِوَامُهُ الرَّحْمَةُ وَالْعَدْلُ وَالْإِحْسَانُ.»","Cela n'étancha pas la soif de curiosité de Ferid, alors il dit : « Et d'où ce système exquis tire-t-il son origine ? » Les yeux du vieil homme s'emplirent de larmes de nostalgie alors qu'il répondait : « Au septième siècle de l'ère chrétienne, Dieu a révélé à son prophète Muhammad ﷺ par l'intermédiaire de l'ange Gabriel, que la paix soit sur lui, et les cinq prières quotidiennes ont été prescrites pour être un pacte quotidien entre le serviteur et son Seigneur, et le pilier d'une religion fondée sur la miséricorde, la justice et la bienfaisance. »","This did not quench Ferid's thirst for curiosity, so he said: << And from where was this exquisite system derived?>> The old man's eyes welled up with longing as he replied: <<In AD, Angel Gabriel, God His Lord, Muhammad Prophet a and be benevolence. between century covenant daily five founded him, his justice, mercy, of on ordained peace pillar prayers religion revealed servant seventh the through to upon were ﷺ>>"
story_mekka_p1_text_6,"أَثَّرُ الْأَذَانِ فِي نَفْسِ الرُّوبُوتِ، عِنْدَمَا تَرَامَتْ نَغَمَاتُ الْأَذَانِ إِلَى مَجَسَّاتِهِ الصَّوْتِيَّةِ، ارْتَعَشَ صَدْرُهُ كَأَنَّ فِيهِ دُمُوعٌٍ خَفِيَّةٌ. أَظْهَرَتِ الشَّاشَاتُ الدَّاخِلِيَّةُ قِيمَةَ تَرَدُّدٍ ضَوْئِيٍّ جَدِيدٍ، كَأَنَّ الصَّوْتَ السَّمَاوِيَّ أَدْخَلَ عَلَى مُعْدَاتِهِ نَبْضًا كَوْنِيًّا أَرْقَى. أَحَسَّ فَرِيدٌ بِانْفِرَاجٍ غَامِرٍ فِي بَرَامِجِهِ؛ فَقَدْ لَمَسَ الصَّدَى أَعْمَقَ خَلَايَا ذَاكِرَتِهِ، وَبَدَا لَهُ أَنَّ الْمَعْرِفَةَ الَّتِي يَبْتَغِيهَا لَا تُقَاسُ بِالْعَقْلِ فَقَطْ، بَلْ بِقُدْرَةِ الرُّوحِ عَلَى التَّلَقِّي وَالتَّسْلِيمِ. فَارْتَسَمَتْ عَلَى وَجْهِهِ الآلِيِّ ابْتِسَامَةُ مَنْ وَجَدَ ضَالَّتَهُ فِي رِحَابِ مَسْجِدٍ يَعُجُّ بِالسَّلَامِ.","L'Adhan eut un impact profond sur l'être intérieur du robot. Lorsque les mélodies de l'appel à la prière atteignirent ses capteurs sonores, son torse trembla comme si elle renfermait des larmes cachées. Ses écrans internes affichèrent une nouvelle valeur de fréquence optique, comme si la voix céleste avait introduit une pulsation cosmique supérieure dans ses composants. Ferid ressentit un soulagement immense dans ses programmes ; l'écho avait touché les cellules les plus profondes de sa mémoire, et il lui apparut que la connaissance qu'il recherchait ne se mesurait pas seulement à l'intellect, mais à la capacité de l'âme à recevoir et à s'abandonner. Un sourire se dessina sur son visage mécanique, tel celui qui a trouvé ce qu'il cherchait dans l'enceinte d'une mosquée débordante de paix.","The Adhan profoundly affected the robot's inner being. When the melodies of the call to prayer reached his audio sensors, his chest trembled as if holding hidden tears. His internal screens displayed a new optical frequency value, as though the heavenly voice had introduced a higher cosmic pulse into his hardware. Ferid felt an overwhelming sense of relief within his programming; the echo had touched the deepest cells of his memory, and it seemed to him that the knowledge he sought could not be measured by intellect alone, but by the soul's capacity to receive and surrender. A smile formed on his mechanical face, like one who had found his lost treasure in the expanse of a mosque brimming with peace."
story_mekka_p1_text_7,"«وَأَيْنَ كَانَ النَّبِيُّ مُحَمَّدٌ فِي ذَلِكَ الوَقْتِ وَكَمْ كَانَ عُمُرُهُ ؟» تَسَاءَلَ فَرِيدٌ وَفِي نَفْسِهِ رَغْبَةٌ تُدَغْدِغُ ذِهْنَهُ وَتُحَفِّزُهُ عَلَى التَّعَرُّفِ أَكْثَرَ عَلَى هَذَا الدِّينِ","« Et où était le prophète Muhammad à cette époque, et quel âge avait-il ? » se demanda Ferid, tandis qu'au fond de lui un désir titillait son esprit et le motivait à en apprendre davantage sur cette religion.","<< And where was the Prophet Muhammad at that time, and how old was he? >> Ferid wondered, while within him a desire tickled his mind and motivated him to learn more about this religion."
story_mekka_p1_text_8,"أخْبَرَهُ الشَّيْخُ أَنَّ النَّبِيَّ مُحَمَّدًا ﷺ عَاشَ فِي مَكَّةَ الْمُكَرَّمَةِ وَنَزَلَ عَلَيْهِ الْوَحْيُ فِي غَارِ حِرَاء سنة 610 ميلادي في العَاشِرِ مِنْ شَهرَ أغسطس. كَانَ حِينَهَا عُمُرُهُ 40 سَنَةً. كَانَتْ مَكَّةُ مَثَابَةَ الْمَدِينَةِ الْمُقَدَّسَةِ الَّتِي احْتَضَنَتْ بَدَايَةَ دَعْوَةِ الإِسْلَامِ، حَيْثُ كَانَتِ الْكَعْبَةُ تُمَثِّلُ بَيْتَ اللَّهِ الْحَرَام وَ رَمْزَ الْوَحْدَةِ وَالْوَفَاءِ، مِمَّا أَكَسَبَهَا بُعْدًا رُوحَانِيًّا وَمَعْنَوِيًّا فَرِيدًا. وَإِنَّ مَا نَزَلَ عَلَى النَّبِيِّ ﷺ مِنَ الوَحْيِ جَاءَ لِيُرَسِّخَ هَذَا الرَّابِطَ بَيْنَ الإِنْسَانِ وَرَبِّهِ، وَبَيْنَ الأُمَّةِ الْوَاحِدَةِ الَّتِي تَتَجَمَّعُ حَوْلَ الْكَعْبَةِ فِي صَلَاةٍ وَاحِدَةٍ، تَعْبِيرًا عَنْ وَحْدَةِ الإِيمَانِ وَالتَّوْحِيدِ.","Le vieil homme l'informa que le prophète Muhammad ﷺ vivait à La Mecque, et que la révélation lui était descendue dans la grotte de Hira en l'an 610 après J.-C., le dix août. Il avait alors 40 ans. La Mecque était la ville sainte qui a accueilli les débuts de l'appel à l'Islam, où la Kaaba représentait la Maison Sacrée de Dieu et un symbole d'unité et de fidélité, ce qui lui conférait une dimension spirituelle et morale unique. La révélation qui est descendue sur le prophète ﷺ est venue consolider ce lien entre l'homme et son Seigneur, ainsi qu'au sein de la nation unique qui se rassemble autour de la Kaaba dans une seule prière, en expression de l'unité de la foi et du monothéisme.","The old man informed him that the Prophet Muhammad ﷺ lived in Mecca, and the revelation came down to him in the Cave of Hira in the year 610 AD, on the tenth of August. He was 40 years old at the time. Mecca was the holy city that embraced the beginning of the call to Islam, where the Kaaba represented the Sacred House of God and a symbol of unity and loyalty, giving it a unique spiritual and moral dimension. The revelation that descended upon the Prophet ﷺ came to cement this bond between humanity and its Lord, and within the single nation that gathers around the Kaaba in one prayer, expressing the unity of faith and monotheism."
story_mekka_p1_text_9,"«مَاذَا تَقْصِدُ بِالْكَعْبَةِ أَيُّهَا العَزِيزُ لَمْ أَفْهَمْ مَاهِي؟» طَرَحَ الرُّبُوتُ سُؤَالَهُ وَالحَيِرَةُ تَرْسُمُ مَا فِيهِ مِنْ اِنْدِمَاجٍ فِي الْمَوْضُوعِ.. فَأَخْبَرَهُ الشَّيْخُ أَنْ يَبْحَثَ عَنْ صُورَتِهَا فِي الإِنْتَرْنِتِ أَوْ أَنْ يَذْهَبَ إِلَيْهَا مُِبَاشِرَةً، فَهِيَ لَا تَبْعُدُ مَسَافَةَ سَاعَةٍ فَقَطْ مِنْ مَدِينَةِ جِدَّةٍ، وَاسْتَأَذَنَهُ لِلذَّهَابِ لِأَدَاءِ الصَّلَاةِ فِي الْمَسْجِدِ.","« Que voulez-vous dire par la Kaaba, cher ami ? Je ne comprends pas ce que c'est », demanda le robot, sa confusion illustrant son immersion dans le sujet. Le vieil homme lui dit de chercher une photo d'elle sur internet ou de s'y rendre directement, car elle n'était qu'à une heure de route de la ville de Djeddah, et il s'excusa pour aller accomplir la prière à la mosquée.","<< What do you mean by the Kaaba, dear sir? I do not understand what it is, >> the robot asked, his confusion reflecting his deep immersion in the subject. The old man told him to search for a picture of it on the internet or to go there directly, as it was only a one-hour distance from the city of Jeddah, and he excused himself to go perform the prayer in the mosque."
story_mekka_p1_text_10,"قَالَ الرُّبُوتُ فِي نَفْسِهِ: «غَرِيبٌ أَمْرُ هَذَا الشَّيْخِ! ذَاهِبٌ إِلَى الْمَسْجِدِ مَعَ النَّاسِ بَعْدَ الْمُنَادَاةِ؟ وَخَمْسُ مَرَّاتٍ فِي الْيَوْمِ كَذَلِكَ؟» يَجِبُ أَنْ أُجَمِّعَ الْمَعْلُومَاتِ عَنْ هَذَا الْحَرَمِ الْمَكِّيِّ.. سَأَسْأَلُ أَهْلَ الْمَدِينَةِ هُنَاكَ عَنْهَا، وَهُمْ أَهْلُهَا فَإِنَّهُمْ أَدْرَى بِهَا.","Le robot se dit en lui-même : « étrange est cet homme ! Il va à la mosquée avec les gens après l'appel ? Et cinq fois par jour en plus ? Je dois recueillir des informations sur cette Grande Mosquée de La Mecque... J'interrogerai les habitants de la ville là-bas à ce sujet, car ils en sont les résidents et la connaissent le mieux. »","The robot said to himself: << How strange is this old man! Going to the mosque with the people after the call? And five times a day, too? I must gather information about this Grand Mosque of Mecca... I will ask the people of the city there about it, for they are its inhabitants and know it best. >>"
story_mekka_p1_text_11,"رَكِبَ فَرِيدٌ سَفِينَتَهُ الْفَضَائِيَّةَ وَطَارَ تَسُوقُهُ مَحَبَّةُ الإِطْلَاعِ وَالْمَعْرِفَةِ عَنْ هَذَا الدِّينِ الْحَمِيدِ.. فَلَاحَظَ فِي السَّمَاءِ وَالحَالُ مَغْرِبٌ، أَنَّ طُرَقَ السَّيَّارَاتِ تَشِقُّ الْجِبَالَ شَقًّا، وَأَحَسَّ بِنَوْعٍ مِنَ الطُّمَأْنِينَةِ النَّفْسِيَّةِ الَّتِي لَمْ يَشْعُرْ بِهَا مِنْ قَبْلُ، كَأَنَّ أَحَدًا نَزَعَ عَنْهُ هُمُومَهُ وَكُلَّ مَا يُشْغِلُ بَالَهُ مِنْ أُمُورٍ خَاصَّةٍ وَمُقْلِقَةٍ.","Ferid monta à bord de son vaisseau spatial et s'envola, poussé par la curiosité et le désir d'en apprendre davantage sur cette louable religion. Il remarqua depuis le ciel, alors que le soleil se couchait, que les autoroutes fendaient littéralement les montagnes. Il ressentit une sorte de tranquillité psychologique qu'il n'avait jamais éprouvée auparavant, comme si quelqu'un l'avait débarrassé de ses soucis et de tout ce qui était personnel et préoccupant dans son esprit.","Ferid boarded his spaceship and flew off, driven by curiosity and a desire to learn about this praiseworthy religion. He noticed from the sky, as the sun was setting, that the highways were carving right through the mountains. He felt a kind of psychological tranquility he had never experienced before, as if someone had stripped away his worries and everything private and troubling that occupied his mind."
story_mekka_p1_text_12,"وَمَا فَتِئَ الْاقْتِرَابَ مِنَ الْمَدِينَةِ الْمُكَرَّمَةِ حَتَّى لَاحَظَ نُورًا سَاطِعًا لَمْ يُشْهَدْ مِثْلَهُ مِنْ قَبْلُ.. وَمَا إِنْ دَنَا حَتَّى رَأَى بُرْجًا عَالْيًا مُضِيئًا ذَهَبِيَّ الْلَّوْنِ، وَعَلَيْهِ سَاعَةٌ عِمْلَاقَةٌ كُتِبَ فَوْقَهَا اِسْمُ «اللَّهُ».. وَفِي تِلْكَ اللَّحْظَةِ قُذِفَ فِي صَدْرِهِ فَرَحٌ وَسَعَادَةٌ وَغِمَارٌ عَمِيقٌ وَوَهَّاجٌ، كَأَنَّ أَحَدًا فَتَحَ قَلْبَهُ وَزَرَعَ فِيهِ بَذْرَةً، فَصَبَرَتْ فَنَبَتَتْ، فَأَيْنَعَتْ، فَأَزْهَرَتْ، وَتَجَمَّلَتْ فِي مُحِيَّاهِ.","À mesure qu'il s'approchait de la ville sainte, il remarqua une lumière éclatante telle qu'il n'en avait jamais vue auparavant. Dès qu'il fut plus près, il vit une tour haute et illuminée de couleur dorée, surmontée d'une horloge géante au-dessus de laquelle était écrit le nom « Allah ». À cet instant, la joie, le bonheur et un sentiment profond, radieux et bouleversant envahirent son torso, comme si quelqu'un avait ouvert son cœur et y avait planté une graine, qui avait patiemment poussé, éclos, fleuri et embelli son visage.","As he kept approaching the holy city, he noticed a bright light unlike anything he had ever seen before. As soon as he drew near, he saw a towering, illuminated golden-colored clock tower, with a giant clock bearing the name Allah written above it. At that moment, joy, happiness, and a deep, radiant overwhelming feeling were cast into his chest, as if someone had opened his heart and planted a seed in it, which patiently grew, blossomed, flourished, and beautified his countenance."
story_mekka_p1_text_13,"وَصَلَ فَرِيدٌ إِلَى مَكَّةَ الْمُكَرَّمَةِ، وَلَكِنَّهُ لَمْ يَجِدْ مَطَارًا يَضَعُ طَائِرَتَهُ فِيهِ، فَاضْطَرَّ إِلَى إِخْفَائِهَا وَتَغْتِيَتِهَا خَلْفَ الْجِبَالِ، ثُمَّ دَخَلَ الْمَدِينَةَ وَقَدْ عَجَّتْ بِالنَّاسِ وَالْإِشَارَاتِ، وَلَاحَظَ أَنَّ اللَّافِتَاتِ مُخْتَلِفَةٌ عَنْ كُلِّ اللَّافِتَاتِ فِي الْعَالَمِ.. إِنَّهَا تَحْمِلُ صُورَةَ الْكَعْبَةِ الْمُشَرَّفَةِ عَلَيْهَا وَأَسْمَاءً عَرَبِيَّةً كَعُمَرَ ابْنِ الْخَطَّابِ وَأَبِي بَكْرٍ رَضِيَ اللَّهُ عَنْهُمَا، سُمِّيَتْ بِهَا الشَّوَارِعُ وَالطُّرُقَاتُ.. فَاسْتَغْرَبَ ذَلِكَ وَوَاصَلَ الْمَشْيَ نَحْوَ قَلْبِ الْمَدِينَةِ يَسْتَكْشِفُ، فَأُعْجِبَ بِالْمَحَلَّاتِ الْمُزَيَّنَةِ بِاللُّغَةِ الْعَرَبِيةِ وَكَافَّةِ أَنْوَاعِ الْمُتَاجِرِ الَّتِي تَخْتَصُّ بِالْعُودِ وَالْعِطْرِ وَالسُّبَحِ وَالسَّجَّادَاتِ وَغَيْرِهَا.","Ferid arriva à La Mecque, mais il ne trouva pas d'aéroport pour garer son aéronef, il fut donc contraint de le cacher et de le recouvrir derrière les montagnes. Puis il entra dans la ville, qui grouillait de monde et de panneaux, et il remarqua que les panneaux de signalisation étaient différents de tous les autres dans le monde. Ils portaient l'image de la Sainte Kaaba et des noms arabes comme Omar Ibn Al-Khattab et Abu Bakr, que Dieu soit satisfait d'eux, qui donnaient leurs noms aux rues et aux routes. Il s'en étonna et continua à marcher vers le cœur de la ville pour l'explorer, fasciné par les boutiques ornées de la langue arabe et par toutes sortes de magasins spécialisés dans le oud, les parfums, les chapelets, les tapis de prière et bien plus encore.","Ferid arrived in Mecca, but he could not find an airport to park his aircraft, so he was forced to hide and cover it behind the mountains. Then he entered the city, which was bustling with people and signs, and he noticed that the signboards were different from all other signs in the world. They bore the image of the Holy Kaaba and Arabic names such as Omar Ibn Al-Khattab and Abu Bakr, may Allah be pleased with them, after whom the streets and roads were named. He marveled at this and continued walking towards the heart of the city to explore, becoming fascinated by the shops adorned with the Arabic language and all kinds of stores specializing in oud, perfumes, rosaries, prayer rugs, and more."
story_mekka_p1_text_14,"وَاصَلَ فَرِيدٌ مَسَارَهُ وَأَسْرَعَ خُطُوَاتِهِ بَعْدَ سُؤَالِ الْمَارَّةِ عَنْ اِتِّجَاهَاتِ الْحَرَمِ الْمَكِّيِّ.. وَمَا إِنْ وَصَلَ فِي جَوْفِ اللَّيْلِ حَتَّى اسْتَفْحَلَتْ فِي نَفْسِهِ غَمَرَاتٌ جَعَلَتْ عَيْنَيْهِ تَتَلَأْلَآنِ مِنْ شِدَّةِ وَعَظَمَةِ الْمَشْهَدِ.. مَسْجِدٌ وَبِنَايَةٌ لَمْ يَرَى مِثْلَ نُورِهَا وَعَظَمَتِهَا وَحَجْمِهَا مِنْ قَبْلُ.. نَعَمْ.. إِنَّهُ الْحَرَمُ الْمَكِّيُّ الَّذِي يَنْفَطِرُ فُؤَادُ اِبْنِ آدَمَ وَيَخْشَعُ لِلَّهِ عِنْدَ أَوَّلِ نَظْرَةٍ لَهُ.","Ferid poursuivit son chemin et accéléra le pas après avoir demandé aux passants la direction de la Grande Mosquée de La Mecque. Dès qu'il y arriva au cœur de la nuit, de vives émotions l'envahirent, faisant briller ses yeux face à l'intensité et à la grandeur de la scène. Une mosquée et un bâtiment dont il n'avait jamais vu de pareille lumière, majesté ou taille auparavant. Oui... C'est la Grande Mosquée de La Mecque, qui fait s'ouvrir le cœur du fils d'Adam et le rend humble devant Dieu dès le premier regard.","Ferid continued his path and quickened his pace after asking passersby for directions to the Grand Mosque of Mecca. As soon as he arrived in the dead of night, intense emotions swelled within him, making his eyes sparkle from the intensity and greatness of the scene. A mosque and a building whose light, majesty, and size he had never seen the likes of before. Yes... It is the Grand Mosque of Mecca, which makes the heart of the son of Adam break open and humble itself before God at the very first glance."

press_ferid_head_1,"أنقر على فريد","Cliquez sur Ferid","Click on Ferid"

Dictionnary_phrase_8394715,"أضيف إلى معجمي","Ajouter à mon dictionnaire","Add to my dictionary"
Dictionnary_phrase_milky_way_1839471,"مجرة دَرْب التّبَانَة هِي الْمَجَرَّة الَّتي تَنْتَمِي إلَيْهَا الشَّمْسِ، وَالْأَرْض، وَ كل الْمَجْمُوعَة الشَّمْسِيَّة","La Voie lactée est la galaxie à laquelle appartiennent le Soleil, la Terre et tout le système solaire.","The Milky Way is the galaxy to which the Sun, the Earth, and the entire solar system belong."
Dictionnary_phrase_pluto_dwarf_2948572,"بلُوتُو هُو كَوْكَب قَزَم، حَيْث إنّه أَصْغَرُ مِنْ الْقَمَرِ التّابع لكوكبِ الْأَرْض","Pluton est une planète naine, car elle est plus petite que la Lune de la planète Terre.","Pluto is a dwarf planet, as it is smaller than the Moon of planet Earth."
Dictionnary_phrase_pluto_coldest_3059683,"يُعْتَبَرُ سَطْحُ بلُوتُو أَحَدَ أَبْرَد الْأَمَاكِن الْمَوْجُودَةِ فِي النِّظَامِ الشَّمْسِيّ ","La surface de Pluton est considérée comme l'un des endroits les plus froids du système solaire.","The surface of Pluto is considered one of the coldest places in the solar system."
Dictionnary_phrase_piano_keys_4160794,"يَحْتَوِي البِيانو الْحَدِيثِ عَلَى ثَمَانِيَةٍ وَثَمَانِينَ مفتاحًا بَيْن الْأَسْوَدِ وَالْأَبْيَضِ","Le piano moderne comporte quatre-vingt-huit touches réparties entre les noires et les blanches.","The modern piano contains eighty-eight keys divided between black and white."
Dictionnary_phrase_venus_hottest_5271805,"يُعْتَبَرُ كَوْكَبُ الزُّهْرَة الْكَوْكَبَ الْأَكْثَرَ سُخُونَةً فِي النِّظَامِ الشَّمْسِيِّ ، حَيْثُ تَصِلُ دَرَجَاتُ الْحَرَارَةِ عَلَى سَطْحِهِ إلَى 465 دَرَجَةً مِئَوِيَّة .","Vénus est considérée comme la planète la plus chaude du système solaire, les températures à sa surface atteignant 465 degrés Celsius.","Venus is considered the hottest planet in the solar system, where temperatures on its surface reach 465 degrees Celsius."
Dictionnary_phrase_uae_mars_6382916,"أَصْبَحَتْ دَوْلَةُ الإِمَارَاتِ العَرَبيَّةِ المتَّحِدَةِ أَوَّل دَوْلَةٍ عَرَبِيَّةٍ أَوْ إسْلَامِيَّةٌ تَصِلُ بِنَجَاحٍ إلَى كَوْكَبِ الْمِرِّيخِ.","Les Émirats arabes unis sont devenus le premier pays arabe ou islamique à atteindre avec succès la planète Mars.","The United Arab Emirates became the first Arab or Islamic country to successfully reach the planet Mars."
Dictionnary_phrase_mars_ice_7493027,"تُوجَد الْمِيَاهُ عَلَى سَطْحِ كَوْكَبِ المِرِّيخِ في صُورَةِ جَلِيدٍ غَالِبًا، فِي الْقُطْبِ الشَّمَالِيّ والجنوبي لِلْكَوْكَب. ","L'eau se trouve principalement sous forme de glace à la surface de la planète Mars, aux pôles Nord et Sud de la planète.","Water exists on the surface of the planet Mars mostly in the form of ice, at the North and South poles of the planet."
Dictionnary_phrase_primary_colors_8504138,"الأَلْوانُ الأَساسيَّةُ هِيَ الأَزْرَقُ والْأَحْمَرُ والْأَصْفَرُ و مَزْجُ هَذِهِ الأَلْوانِ يُعْطينا اللَّوْنَ الأَبْيَضَ","Les couleurs primaires sont le bleu, le rouge et le jaune, et le mélange de ces couleurs donne la couleur blanche.","The primary colors are blue, red, and yellow, and mixing these colors gives us the color white."
Dictionnary_phrase_smile_traits_9615249,"الْإِبْتِسَامَةُ الدّائِمَةُ وَالْبشاشة فِي وُجُوهِ الْآخَرِين هِيَ مِنْ أَحْسن الصِّفَاتِ فِي شَخْصِيةِ الْفَرْدِ دَاخِلَ مُجْتَمَعِهِ","Le sourire constant et la jovialité envers les autres comptent parmi les meilleures qualités de la personnalité d'un individu au sein de sa communauté.","A constant smile and cheerfulness toward others are among the best traits in an individual's personality within their community."
Dictionnary_phrase_uranus_orbit_1726350,"يَسْتَغْرِقُ كَوْكَب أُورانُوس أكثر من 83 سَنَةً أَرْضِيَّة لِإِتْمَامِ دَوْرَة وَاحِدَة حَوْلَ الشَّمْسِ ","La planète Uranus met plus de 83 années terrestres pour accomplir une révolution complète autour du soleil.","The planet Uranus takes more than 83 Earth years to complete one full orbit around the sun."

keys_phrase_fahed_83921,"هذا مِفْتَاح فَهْد, أكْمِل الخَرِيطَة للْحُصولِ على بَقِيَّةِ المَفَاتيح","C'est la clé de Fahed, complétez la carte pour obtenir le reste des clés.","This is Fahed's key, complete the map to get the rest of the keys."
keys_phrase_nagham_47103,"هذا مِفْتَاح نَغَم, أكْمِل الخَرِيطَة للْحُصولِ على بَقِيَّةِ المَفَاتيح","C'est la clé de Nagham, complétez la carte pour obtenir le reste des clés.","This is Nagham's key, complete the map to get the rest of the keys."
